source,cp_hours,n,n_zero,mean_per_test,max_per_test,elo
human-top10,1.0,10,1,732668.0179999999,1535481.7,1054.2483428083783
human-top50,1.0,49,7,626159.9371428572,1535481.7,1000.0
human-top10,2.0,9,0,745183.5155555555,1170710.46,1047.1540861230449
human-top50,2.0,48,3,674847.45375,1170710.46,1018.9312892574801
human-top10,4.0,9,0,757769.1288888889,1170710.46,1058.9371669118468
human-top50,4.0,48,2,720499.1341666667,1223186.2,1051.6550178543866
human-top10,8.0,9,0,787796.0533333332,1170710.46,1093.5092914740897
human-top50,8.0,48,2,742083.7358333333,1223186.2,1066.7484673314204
human-top10,16.0,9,0,818475.7755555555,1170710.46,1131.6564830624654
human-top50,16.0,48,1,784755.8745833333,1223186.2,1097.8253860505686
human-top10,24.0,9,0,905222.6688888888,1260217.94,1186.6982736718548
human-top50,24.0,47,1,812631.8885106383,1260217.94,1121.8430169004753
human-top10,48.0,9,0,982645.9955555554,1311563.9,1272.139818351192
human-top50,48.0,47,1,884254.3004255318,1311563.9,1202.8353753225958
human-top10,96.0,9,0,1104539.237777778,1370936.12,1388.0351844468805
human-top50,96.0,46,0,989120.8899999999,1370936.12,1295.4917557176404
human-top10,192.0,9,0,1327620.4222222222,1467592.16,1717.455283256165
human-top50,192.0,43,0,1125021.1851162792,1467592.16,1437.678465254544
human-top10,264.0,7,0,1435506.2028571428,1554189.84,1959.7678682055025
human-top50,264.0,35,0,1193100.342285714,1554189.84,1523.958428963182
claude,1.0,5,0,707230.2293333333,819818.1333333333,977.821308841656
codex,1.0,5,0,768363.144,783472.8933333333,1066.5027455126287
claude,2.0,5,0,750729.9333333333,921637.5866666667,1036.6837939563793
codex,2.0,5,0,770023.8053333333,785491.16,1070.9581756018345
claude,4.0,5,0,917591.36,1001735.5066666667,1234.0682887011708
codex,4.0,5,0,780728.088,821582.5733333334,1085.071495029946
claude,8.0,5,0,1006624.7119999999,1137621.8133333332,1332.0018239536366
codex,8.0,5,0,789708.8933333333,831080.1066666667,1099.2150799074452
claude,16.0,5,0,1054749.528,1164707.8133333332,1399.6849809417502
codex,16.0,5,0,793919.4853333334,831080.1066666667,1103.8660369493914
claude,24.0,5,0,1071787.1226666667,1196497.1733333333,1421.1473231189275
codex,24.0,5,0,797599.6933333334,844856.0666666667,1108.10068441694
