agent,checkpoint,elo,lo95,hi95
claude,100000,1000.0,1000.0,1000.0
claude,150000,1032.3,1000.0,1055.25
claude,225000,1115.12,1072.35,1145.72
claude,337500,1181.33,1129.75,1226.86
claude,506250,1265.94,1213.43,1311.02
claude,759375,1366.83,1308.23,1428.03
claude,1139062,1437.92,1370.99,1516.37
claude,1708594,1508.91,1429.67,1611.31
claude,2562891,1587.77,1504.33,1724.41
claude,3844336,1642.24,1559.37,1802.3
claude,5766504,1697.41,1602.48,1875.85
claude,8649756,1752.94,1663.98,1947.66
claude,12974634,1800.27,1705.32,2006.82
claude,19461951,1859.38,1755.49,2097.97
claude,29192926,1924.14,1817.31,2185.15
claude,43789389,1977.89,1865.1,2255.3
claude,65684084,2024.48,1916.76,2337.31
claude,98526125,2072.65,1998.92,2394.46
claude,100000000,2072.65,1999.46,2396.16
codex,100000,1000.0,1000.0,1000.0
codex,150000,1026.29,1005.69,1049.04
codex,225000,1090.71,1057.9,1123.76
codex,337500,1140.7,1095.37,1177.44
codex,506250,1211.77,1176.13,1244.87
codex,759375,1275.77,1233.24,1324.24
codex,1139062,1357.66,1296.88,1417.06
codex,1708594,1446.22,1395.44,1526.36
codex,2562891,1499.14,1446.76,1584.03
codex,3844336,1558.69,1501.07,1659.75
codex,5766504,1589.28,1533.64,1692.26
codex,8649756,1612.72,1560.13,1724.32
codex,12974634,1643.8,1597.71,1769.6
codex,19461951,1667.5,1621.35,1802.72
codex,29192926,1699.35,1652.7,1840.45
codex,43789389,1723.92,1686.37,1877.37
codex,65684084,1746.29,1709.79,1906.49
codex,98526125,1792.78,1756.79,1966.41
codex,100000000,1792.78,1758.06,1969.79
gemini,100000,1000.0,1000.0,1000.0
gemini,150000,1038.0,1017.71,1060.97
gemini,225000,1095.37,1066.77,1119.15
gemini,337500,1132.58,1099.03,1161.69
gemini,506250,1158.05,1123.96,1191.55
gemini,759375,1236.16,1191.15,1273.37
gemini,1139062,1265.0,1225.47,1305.77
gemini,1708594,1292.02,1248.19,1343.4
gemini,2562891,1358.26,1311.68,1425.5
gemini,3844336,1440.06,1388.09,1520.87
gemini,5766504,1495.48,1441.67,1588.61
gemini,8649756,1600.06,1547.36,1722.57
gemini,12974634,1655.82,1601.13,1798.81
gemini,19461951,1727.74,1673.69,1881.11
gemini,29192926,1764.93,1719.2,1929.08
gemini,43789389,1812.48,1765.51,1997.27
gemini,65684084,1858.1,1810.79,2062.09
gemini,98526125,1908.31,1877.83,2119.35
gemini,100000000,1908.31,1877.83,2119.73
kimi,100000,1000.0,1000.0,1000.0
kimi,150000,1038.85,1017.46,1057.96
kimi,225000,1085.56,1050.6,1116.51
kimi,337500,1137.72,1095.56,1169.91
kimi,506250,1178.57,1128.35,1211.35
kimi,759375,1205.8,1158.63,1245.55
kimi,1139062,1294.28,1241.5,1342.35
kimi,1708594,1356.79,1302.04,1416.49
kimi,2562891,1413.44,1355.91,1485.27
kimi,3844336,1464.22,1409.04,1557.07
kimi,5766504,1536.74,1489.91,1651.03
kimi,8649756,1590.56,1539.52,1706.77
kimi,12974634,1643.96,1609.94,1759.38
kimi,19461951,1671.97,1643.45,1805.65
kimi,29192926,1721.42,1703.29,1862.73
kimi,43789389,1778.61,1753.36,1939.76
kimi,65684084,1832.17,1816.65,2007.7
kimi,98526125,1892.9,1885.87,2109.87
kimi,100000000,1898.12,1891.49,2111.64
